Id,date,boil_current_level
847,1423402325.20807,1178.0
848,1423402325.69669,1180.0
849,1423402326.21024,1181.0
850,1423402326.70467,1178.0
851,1423402327.25115,1178.0
852,1423402327.71508,1180.0
853,1423402328.222,1181.0
854,1423402328.72493,1178.0
855,1423402329.29272,1178.0
856,1423402329.7364,1181.0
857,1423402330.25391,1181.0
858,1423402331.27704,1178.0
859,1423402331.42148,1178.0
860,1423402331.75454,1181.0
861,1423402332.26207,1181.0
862,1423402332.81723,1178.0
863,1423402333.29112,1178.0
864,1423402333.77594,1180.0
865,1423402334.27904,1181.0
866,1423402334.78276,1180.0
867,1423402335.29181,1180.0
868,1423402335.79323,1181.0
869,1423402336.30618,1181.0
870,1423402336.80269,1179.0
871,1423402337.30912,1179.0
872,1423402337.81261,1181.0
873,1423402338.35132,1178.0
874,1423402338.82246,1179.0
875,1423402339.34124,1178.0
876,1423402339.83274,1181.0
877,1423402340.33924,1178.0
878,1423402340.8424,1178.0
879,1423402341.35413,1179.0
880,1423402341.85387,1181.0
881,1423402342.35717,1178.0
882,1423402343.69205,1178.0
883,1423402343.82954,1179.0
884,1423402343.96386,1181.0
885,1423402344.38283,1178.0
886,1423402344.88216,1178.0
887,1423402345.39765,1179.0
888,1423402345.89161,1181.0
889,1423402346.39923,1178.0
890,1423402346.90174,1178.0
891,1423402347.46766,1179.0
892,1423402347.911,1181.0
893,1423402348.45111,1178.0
894,1423402348.92048,1178.0
895,1423402349.49805,1179.0
896,1423402349.9329,1181.0
897,1423402350.43854,1178.0
898,1423402350.95354,1178.0
899,1423402351.45022,1179.0
900,1423402351.97083,1182.0
901,1423402352.46752,1178.0
902,1423402353.00693,1178.0
903,1423402353.48224,1178.0
904,1423402353.97173,1180.0
905,1423402354.48486,1178.0
906,1423402354.98175,1178.0
907,1423402355.9202,1179.0
908,1423402356.07527,1181.0
909,1423402356.53486,1178.0
910,1423402357.02842,1178.0
911,1423402357.50925,1179.0
912,1423402358.02286,1181.0
913,1423402358.51753,1178.0
914,1423402359.02025,1178.0
915,1423402359.52518,1178.0
916,1423402360.02894,1180.0
917,1423402360.53506,1178.0
918,1423402361.06139,1178.0
919,1423402361.55246,1179.0
920,1423402362.05007,1181.0
921,1423402362.5649,1178.0
